id,user,message,createdAt,logType,component,level,metadata
364,system,[INFO] Build preparation started,2025-09-05 08:00:13.336 +00:00,build,build-prep,info,"{""operation"":""main"",""timestamp"":""2025-09-05T08:00:13.334Z"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
365,system,[INFO] Starting build configuration parsing,2025-09-05 08:00:13.382 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""args"":[]}"
366,system,[INFO] Build configuration parsed successfully,2025-09-05 08:00:13.392 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
367,system,[INFO] Starting build safety validation,2025-09-05 08:00:13.398 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""isInternalBuild"":false,""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
368,system,[INFO] Production build safety validation passed,2025-09-05 08:00:13.402 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
369,system,[INFO] Starting build environment validation,2025-09-05 08:00:13.407 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""platform"":""win32""}"
370,system,[INFO] Build environment validation completed,2025-09-05 08:00:17.872 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""majorVersion"":20}"
371,system,[INFO] Starting database cleanup,2025-09-05 08:00:17.876 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
372,system,[ERROR] Build preparation failed,2025-09-05 08:00:17.882 +00:00,error,build-prep,error,"{""operation"":""main"",""error"":""EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'"",""stack"":""Error: EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'\n    at Object.unlinkSync (node:fs:1877:11)\n    at D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:572:14\n    at executeWithRetry (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:46:20)\n    at cleanDatabase (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:570:13)\n    at async main (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:151:5)"",""duration"":""4547ms"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
373,system,[INFO] Build preparation started,2025-09-05 08:03:23.832 +00:00,build,build-prep,info,"{""operation"":""main"",""timestamp"":""2025-09-05T08:03:23.829Z"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
